Non Normilized,,,,,,,,,,
Sensor,C_SensorBias,Ti_SensorBias,Tci,Qc_SensorBias,Tci_SensorBias,Tsp 1,Ci_SensorBias,T_SensorBias,Ci,Tc_SensorBias
Ci, 231 , 484 , 207 ," 1,229 "," 1,686 "," 1,237 "," 1,774,570 ", 891 ," 66,207 ", 756 
Ti," 222,367 "," 12,997,111 "," 221,351 "," 14,814 "," 177,478 "," 9,138 "," 47,831 "," 204,596 "," 16,361 "," 298,416 "
T," 27,574 "," 71,165 "," 221,929 "," 192,905 "," 36,198 "," 17,460,326 "," 53,736 "," 2,882,525 "," 205,000,000 "," 115,038 "
Qc," 6,561,791 "," 7,266,242 "," 11,302,288 "," 54,268,994 "," 9,626,978 "," 54,766,994 "," 8,905,615 "," 7,858,128 "," 104,000,000 "," 9,336,361 "
Tci," 9,945 "," 1,368 "," 64,537 "," 4,838 "," 6,114,217 "," 5,840 "," 1,416 "," 10,261 "," 9,335 "," 4,193 "
Tc," 1,959 "," 5,809 "," 19,987 "," 7,952 "," 3,333 "," 1,330,554 "," 3,611 "," 11,272 "," 102,000,000 "," 4,014,473 "
C," 2,036,190 "," 52,779 "," 424,812 "," 190,862 "," 12,520 "," 139,000,000 "," 29,631 "," 378,252 "," 1,220,000,000 "," 151,242 "
Ground Truth,C,Ti,Tci,Qc,Tci,T,Ci,T,Ci,Tc
1st highest,Qc,Ti, Qc ,Qc,Qc,C,Qc,Qc,C,Qc
2nd highest,C,Qc, C ,T,Tci,Qc,Ci,T,T,Tc
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
